airline,source_city,destination_city,departure_time,arrival_time,stops,class,duration,days_left,price
SpiceJet,Bangalore,Kolkata,04:00,10:41,1,Economy,2.08,32,5791
GO FIRST,Kolkata,Hyderabad,01:00,07:16,0,Business,7.82,14,17017
Indigo,Hyderabad,Mumbai,17:00,21:51,2,Economy,4.26,40,8247
AirAsia,Hyderabad,Kolkata,10:00,16:04,0,Economy,6.84,42,5623
SpiceJet,Hyderabad,Mumbai,20:00,02:09,1,Economy,13.93,44,9051
Vistara,Bangalore,Mumbai,22:00,04:27,1,Business,5.07,25,19001
Air India,Delhi,Bangalore,02:00,08:38,1,Economy,4.46,27,6480
Indigo,Bangalore,Chennai,22:00,02:03,2,Economy,9.31,32,11055
GO FIRST,Delhi,Chennai,20:00,22:19,1,Business,5.1,35,22180
SpiceJet,Chennai,Kolkata,14:00,18:22,1,Economy,10.52,2,11258
Vistara,Bangalore,Hyderabad,03:00,06:10,1,Economy,8.23,46,6236
AirAsia,Bangalore,Mumbai,00:00,06:27,0,Economy,9.47,24,8683
Air India,Bangalore,Hyderabad,01:00,06:19,2,Economy,10.54,28,12125
Vistara,Kolkata,Hyderabad,17:00,23:08,0,Business,11.98,31,20612
SpiceJet,Hyderabad,Chennai,12:00,17:08,1,Economy,8.95,36,9163
GO FIRST,Hyderabad,Delhi,02:00,07:46,0,Economy,12.01,3,8598
Air India,Hyderabad,Delhi,18:00,00:09,2,Economy,12.5,36,11330
Vistara,Kolkata,Hyderabad,05:00,09:30,1,Economy,10.16,48,7309
Indigo,Delhi,Bangalore,01:00,06:20,0,Economy,2.09,6,7201
Air India,Kolkata,Hyderabad,02:00,06:38,0,Economy,7.77,20,8359
AirAsia,Kolkata,Chennai,12:00,18:39,0,Economy,7.57,37,6126
GO FIRST,Hyderabad,Mumbai,01:00,05:41,1,Economy,8.06,15,9404
Vistara,Chennai,Mumbai,22:00,02:51,1,Economy,8.55,23,9465
Indigo,Mumbai,Hyderabad,00:00,06:46,1,Economy,7.69,14,9766
SpiceJet,Mumbai,Chennai,18:00,00:07,2,Business,6.77,27,20088
Indigo,Delhi,Chennai,22:00,04:16,0,Economy,4.0,12,6387
SpiceJet,Mumbai,Hyderabad,02:00,04:03,2,Economy,11.71,47,7293
Air India,Hyderabad,Delhi,12:00,15:44,0,Business,7.5,26,16173
Air India,Delhi,Mumbai,02:00,06:16,0,Business,9.06,22,17342
AirAsia,Hyderabad,Delhi,18:00,21:25,1,Economy,9.08,13,9504
Indigo,Chennai,Delhi,15:00,18:45,2,Economy,4.0,15,10049
Air India,Hyderabad,Chennai,16:00,21:06,0,Economy,12.21,32,7561
GO FIRST,Hyderabad,Delhi,18:00,20:22,0,Economy,12.43,41,6539
Vistara,Kolkata,Mumbai,00:00,04:08,0,Business,4.91,25,19074
Vistara,Kolkata,Mumbai,12:00,15:44,1,Economy,10.68,5,11714
SpiceJet,Bangalore,Mumbai,19:00,01:43,1,Economy,14.25,31,9265
GO FIRST,Kolkata,Bangalore,12:00,14:45,2,Economy,9.66,3,11017
GO FIRST,Chennai,Bangalore,22:00,03:01,1,Economy,8.13,28,9990
AirAsia,Bangalore,Kolkata,08:00,10:15,0,Economy,13.37,21,7729
AirAsia,Bangalore,Delhi,03:00,06:43,0,Economy,14.97,35,8429
SpiceJet,Hyderabad,Delhi,19:00,21:18,0,Economy,9.45,49,4082
AirAsia,Chennai,Mumbai,15:00,21:27,0,Economy,13.47,35,7420
AirAsia,Chennai,Delhi,01:00,07:04,1,Economy,11.83,36,7187
AirAsia,Mumbai,Kolkata,06:00,08:45,2,Business,11.04,6,22449
Indigo,Chennai,Mumbai,12:00,15:51,2,Economy,8.26,1,14499
SpiceJet,Delhi,Bangalore,21:00,23:48,0,Business,4.24,10,22490
Vistara,Mumbai,Kolkata,02:00,05:33,1,Economy,6.45,6,8560
Air India,Delhi,Mumbai,23:00,04:51,2,Business,5.2,12,27008
SpiceJet,Mumbai,Bangalore,18:00,22:52,0,Economy,8.86,38,5466
Air India,Delhi,Hyderabad,01:00,07:39,2,Economy,8.9,28,8751
Air India,Bangalore,Delhi,05:00,07:33,2,Economy,6.69,7,10812
Vistara,Kolkata,Delhi,01:00,03:46,1,Economy,6.55,34,7017
Air India,Bangalore,Hyderabad,20:00,23:24,1,Economy,13.32,36,9747
Indigo,Hyderabad,Kolkata,11:00,15:19,2,Economy,12.03,34,9138
Indigo,Kolkata,Delhi,02:00,08:48,1,Economy,12.05,32,9711
Air India,Delhi,Kolkata,12:00,16:58,2,Economy,11.07,34,11332
SpiceJet,Kolkata,Delhi,14:00,17:50,1,Economy,13.13,10,10325
AirAsia,Mumbai,Hyderabad,05:00,10:35,0,Business,6.94,34,18146
Indigo,Mumbai,Hyderabad,22:00,02:02,1,Economy,7.74,41,6629
AirAsia,Delhi,Bangalore,22:00,04:22,0,Economy,10.96,24,7912
SpiceJet,Chennai,Kolkata,19:00,22:51,2,Economy,11.84,18,12642
SpiceJet,Bangalore,Kolkata,16:00,18:35,0,Economy,4.64,16,8517
Air India,Bangalore,Delhi,09:00,12:37,2,Economy,5.24,46,7133
AirAsia,Hyderabad,Chennai,06:00,10:16,0,Economy,12.75,27,8607
Indigo,Chennai,Hyderabad,05:00,08:03,0,Economy,8.52,35,5656
Indigo,Mumbai,Bangalore,23:00,05:28,0,Economy,6.81,29,6469
Vistara,Bangalore,Mumbai,21:00,03:09,1,Economy,12.77,32,9246
AirAsia,Mumbai,Delhi,18:00,22:16,2,Economy,9.41,2,13936
Indigo,Hyderabad,Kolkata,06:00,09:06,1,Economy,7.78,4,11719
Indigo,Bangalore,Delhi,15:00,20:53,1,Economy,3.53,1,8626
SpiceJet,Hyderabad,Chennai,18:00,21:23,2,Economy,12.45,11,14299
AirAsia,Chennai,Bangalore,12:00,16:57,2,Economy,11.94,31,10439
Indigo,Kolkata,Bangalore,19:00,22:13,0,Business,7.07,40,19048
AirAsia,Bangalore,Kolkata,19:00,01:26,0,Economy,2.78,38,4043
SpiceJet,Bangalore,Delhi,13:00,19:16,2,Economy,6.44,30,8401
Vistara,Mumbai,Bangalore,06:00,10:46,2,Economy,10.59,13,9773
Indigo,Hyderabad,Bangalore,00:00,05:25,2,Business,2.18,22,23513
GO FIRST,Hyderabad,Bangalore,08:00,10:02,1,Economy,13.27,15,9051
Indigo,Chennai,Hyderabad,07:00,12:06,1,Economy,13.59,33,8832
Vistara,Mumbai,Chennai,23:00,05:46,0,Economy,10.31,4,10174
Vistara,Bangalore,Mumbai,18:00,21:57,2,Economy,11.24,22,12285
Air India,Bangalore,Chennai,21:00,02:09,1,Economy,2.14,30,6095
Air India,Delhi,Mumbai,04:00,06:17,1,Economy,4.91,45,5548
AirAsia,Mumbai,Kolkata,23:00,04:47,2,Economy,3.84,32,7925
Air India,Delhi,Mumbai,23:00,03:57,0,Economy,12.09,42,6790
Indigo,Mumbai,Delhi,16:00,22:14,2,Economy,9.18,24,11053
GO FIRST,Delhi,Mumbai,23:00,03:15,1,Economy,11.29,1,11748
Vistara,Mumbai,Hyderabad,06:00,09:45,1,Business,6.77,5,26067
Indigo,Hyderabad,Mumbai,00:00,06:56,2,Economy,2.11,21,9745
AirAsia,Mumbai,Kolkata,06:00,10:40,1,Economy,12.76,13,9902
Indigo,Chennai,Hyderabad,17:00,20:48,2,Economy,4.89,46,6918
GO FIRST,Bangalore,Kolkata,14:00,20:17,0,Economy,11.17,8,8845
AirAsia,Chennai,Bangalore,07:00,09:47,1,Economy,10.94,28,9845
AirAsia,Chennai,Kolkata,17:00,20:28,0,Business,11.7,49,17400
AirAsia,Mumbai,Bangalore,10:00,12:17,0,Economy,3.94,18,7172
AirAsia,Mumbai,Chennai,09:00,13:29,0,Economy,9.92,5,8830
SpiceJet,Delhi,Kolkata,02:00,08:57,1,Economy,11.67,14,10614
GO FIRST,Mumbai,Kolkata,10:00,12:51,0,Economy,3.27,16,8344
GO FIRST,Bangalore,Kolkata,21:00,23:48,2,Business,12.13,10,28021
Indigo,Delhi,Hyderabad,18:00,20:46,1,Economy,6.32,18,8055
GO FIRST,Delhi,Bangalore,17:00,21:55,2,Economy,9.01,37,8178
Air India,Hyderabad,Bangalore,20:00,01:11,1,Economy,9.04,5,8786
Indigo,Chennai,Kolkata,01:00,03:48,1,Economy,5.06,47,6100
Air India,Chennai,Delhi,01:00,07:49,0,Business,14.23,4,25641
Vistara,Mumbai,Chennai,09:00,11:00,0,Economy,7.82,3,8823
GO FIRST,Hyderabad,Delhi,01:00,05:10,2,Economy,6.24,4,13321
Air India,Bangalore,Kolkata,16:00,20:08,1,Economy,14.48,49,6998
Indigo,Hyderabad,Mumbai,11:00,13:45,2,Economy,3.54,45,6097
Vistara,Kolkata,Bangalore,00:00,04:14,0,Economy,8.81,44,6422
SpiceJet,Mumbai,Bangalore,16:00,22:36,2,Business,5.02,17,19662
AirAsia,Kolkata,Chennai,03:00,05:58,2,Economy,13.22,38,8352
SpiceJet,Mumbai,Chennai,13:00,16:19,2,Business,6.47,14,18775
AirAsia,Delhi,Kolkata,00:00,04:01,2,Business,5.78,26,21051
SpiceJet,Chennai,Kolkata,12:00,18:11,1,Economy,2.12,33,7778
Vistara,Hyderabad,Chennai,02:00,08:53,0,Economy,3.61,28,5865
Air India,Mumbai,Delhi,19:00,22:11,1,Economy,2.55,11,8895
GO FIRST,Delhi,Mumbai,19:00,21:05,1,Economy,5.65,34,7200
AirAsia,Chennai,Mumbai,12:00,15:15,1,Economy,3.04,22,7098
AirAsia,Mumbai,Chennai,20:00,22:42,1,Economy,10.9,21,9912
Air India,Hyderabad,Bangalore,12:00,18:21,0,Economy,14.99,42,5893
GO FIRST,Mumbai,Hyderabad,19:00,22:15,0,Economy,11.91,41,6467
Vistara,Bangalore,Kolkata,04:00,08:24,0,Economy,14.37,24,7585
AirAsia,Hyderabad,Kolkata,05:00,08:05,0,Economy,9.93,3,9655
SpiceJet,Kolkata,Hyderabad,18:00,23:45,0,Economy,3.51,25,5711
Indigo,Bangalore,Chennai,15:00,19:14,0,Economy,12.12,20,7991
Indigo,Mumbai,Delhi,03:00,06:07,2,Business,10.72,23,20633
Indigo,Bangalore,Mumbai,03:00,05:29,1,Economy,7.21,10,10137
Indigo,Chennai,Kolkata,10:00,16:36,0,Business,13.45,18,21152
SpiceJet,Chennai,Mumbai,19:00,01:02,0,Economy,7.05,49,3784
AirAsia,Chennai,Mumbai,08:00,13:38,1,Business,4.8,28,23108
Vistara,Chennai,Delhi,07:00,10:32,0,Business,14.99,12,23881
Vistara,Bangalore,Chennai,21:00,01:40,1,Economy,3.75,27,6642
Vistara,Hyderabad,Bangalore,14:00,19:41,0,Economy,10.09,9,8927
GO FIRST,Chennai,Hyderabad,08:00,10:01,0,Economy,6.14,16,8910
GO FIRST,Delhi,Kolkata,08:00,12:44,1,Economy,9.52,3,12715
SpiceJet,Mumbai,Chennai,13:00,17:30,2,Economy,11.83,48,7363
AirAsia,Chennai,Bangalore,21:00,23:28,0,Economy,10.49,30,8111
SpiceJet,Kolkata,Delhi,07:00,11:49,0,Business,12.37,2,22379
Vistara,Hyderabad,Kolkata,18:00,00:38,2,Economy,3.05,28,10545
GO FIRST,Delhi,Kolkata,07:00,10:22,0,Economy,7.26,11,9237
SpiceJet,Chennai,Hyderabad,13:00,18:32,2,Economy,6.52,22,10121
AirAsia,Kolkata,Hyderabad,05:00,10:52,2,Economy,10.35,23,12635
AirAsia,Mumbai,Kolkata,17:00,19:44,0,Economy,12.71,36,6601
GO FIRST,Mumbai,Bangalore,18:00,21:13,1,Economy,11.13,34,6812
Indigo,Bangalore,Kolkata,23:00,03:38,2,Economy,3.39,29,9953
GO FIRST,Bangalore,Mumbai,06:00,09:32,0,Economy,8.3,38,4888
AirAsia,Mumbai,Bangalore,13:00,19:04,0,Economy,13.21,32,6102
GO FIRST,Mumbai,Bangalore,11:00,14:37,1,Economy,2.97,22,6812
Indigo,Bangalore,Kolkata,07:00,10:14,0,Business,9.49,29,15417
Indigo,Chennai,Kolkata,10:00,15:35,0,Economy,10.82,37,7721
Indigo,Chennai,Bangalore,09:00,11:55,0,Economy,4.55,43,5521
Air India,Delhi,Hyderabad,07:00,12:08,2,Economy,8.11,49,8935
GO FIRST,Bangalore,Kolkata,12:00,18:33,1,Economy,9.1,33,6642
AirAsia,Chennai,Kolkata,08:00,11:24,1,Economy,13.99,32,7334
SpiceJet,Kolkata,Bangalore,01:00,06:15,2,Economy,13.55,12,12292
Indigo,Mumbai,Chennai,22:00,01:02,1,Economy,7.46,49,5693
AirAsia,Bangalore,Delhi,11:00,15:41,2,Economy,12.08,45,9771
Indigo,Mumbai,Delhi,16:00,18:04,0,Economy,2.26,8,7969
Indigo,Bangalore,Chennai,06:00,09:18,1,Economy,2.78,7,7738
Indigo,Bangalore,Kolkata,09:00,11:35,2,Economy,5.59,25,10155
GO FIRST,Chennai,Hyderabad,09:00,15:34,1,Economy,12.27,14,10303
AirAsia,Delhi,Bangalore,10:00,12:01,2,Economy,13.51,34,11162
AirAsia,Delhi,Bangalore,00:00,04:42,1,Economy,12.63,3,13502
Air India,Hyderabad,Delhi,04:00,08:18,1,Economy,5.5,32,6701
Indigo,Delhi,Bangalore,01:00,06:23,2,Business,4.59,40,20925
SpiceJet,Delhi,Hyderabad,18:00,20:01,1,Economy,11.93,23,10277
Indigo,Chennai,Bangalore,09:00,11:31,1,Economy,3.46,19,6915
GO FIRST,Bangalore,Chennai,03:00,06:28,1,Economy,3.73,16,8138
Vistara,Hyderabad,Delhi,08:00,12:57,0,Economy,14.08,18,7998
Air India,Delhi,Hyderabad,10:00,15:20,1,Economy,14.01,42,6785
Air India,Mumbai,Bangalore,11:00,14:36,2,Economy,10.16,29,11415
Vistara,Kolkata,Chennai,19:00,22:45,2,Economy,7.03,32,7535
Vistara,Chennai,Mumbai,13:00,18:08,1,Economy,14.35,46,7512
SpiceJet,Delhi,Mumbai,14:00,17:34,1,Economy,14.55,3,9851
Indigo,Kolkata,Hyderabad,03:00,08:56,0,Economy,3.37,7,6761
Vistara,Hyderabad,Bangalore,08:00,10:31,2,Economy,9.44,42,10137
Air India,Hyderabad,Chennai,12:00,18:50,2,Economy,2.51,14,11515
AirAsia,Chennai,Bangalore,02:00,05:08,1,Economy,5.87,36,6449
Air India,Chennai,Mumbai,07:00,11:42,0,Economy,4.4,18,7455
AirAsia,Bangalore,Mumbai,02:00,07:06,1,Business,3.62,9,22299
AirAsia,Mumbai,Delhi,05:00,07:53,0,Economy,8.89,47,5037
Vistara,Hyderabad,Kolkata,23:00,02:12,1,Business,14.76,16,18650
Air India,Hyderabad,Kolkata,18:00,21:27,2,Economy,8.28,30,9901
Indigo,Chennai,Hyderabad,02:00,05:24,0,Economy,8.55,11,9269
GO FIRST,Delhi,Hyderabad,23:00,03:21,2,Economy,2.28,35,6412
AirAsia,Hyderabad,Kolkata,12:00,15:29,1,Economy,13.13,48,6946
Vistara,Mumbai,Bangalore,09:00,11:59,1,Economy,6.49,40,5827
Vistara,Bangalore,Kolkata,21:00,03:55,0,Business,2.43,41,16285
AirAsia,Hyderabad,Mumbai,20:00,23:50,2,Economy,14.15,4,14883
Vistara,Bangalore,Mumbai,06:00,08:13,2,Economy,7.67,15,12305
Air India,Chennai,Kolkata,07:00,12:33,2,Economy,11.31,33,9461
SpiceJet,Chennai,Delhi,18:00,00:52,1,Economy,11.44,31,7910
AirAsia,Hyderabad,Bangalore,16:00,20:26,2,Economy,11.33,22,13230
GO FIRST,Bangalore,Hyderabad,13:00,17:59,0,Business,10.51,20,18834
GO FIRST,Kolkata,Delhi,12:00,14:22,0,Economy,13.65,46,5881
SpiceJet,Mumbai,Hyderabad,06:00,09:14,2,Economy,11.64,12,10296
Indigo,Bangalore,Kolkata,04:00,06:07,1,Business,13.21,36,21640
SpiceJet,Bangalore,Delhi,15:00,19:22,2,Business,13.22,45,24718
Air India,Hyderabad,Mumbai,13:00,17:39,0,Economy,6.51,5,9522
Vistara,Mumbai,Hyderabad,15:00,19:28,0,Business,11.44,43,19523
Vistara,Kolkata,Bangalore,12:00,14:09,2,Economy,7.83,27,8895
GO FIRST,Delhi,Chennai,07:00,09:35,1,Economy,10.61,30,9476
GO FIRST,Bangalore,Chennai,19:00,22:38,0,Economy,13.6,22,10080
GO FIRST,Delhi,Chennai,11:00,16:11,1,Economy,14.73,9,10805
AirAsia,Bangalore,Chennai,21:00,23:43,2,Economy,4.95,22,8959
Vistara,Delhi,Mumbai,11:00,17:21,1,Economy,2.77,41,6754
Indigo,Kolkata,Mumbai,12:00,18:23,0,Economy,9.25,8,10452
Vistara,Bangalore,Mumbai,18:00,22:27,0,Economy,9.18,31,6770
GO FIRST,Hyderabad,Kolkata,01:00,04:08,0,Economy,11.15,37,7571
GO FIRST,Mumbai,Chennai,01:00,04:08,1,Business,2.48,18,24132
Air India,Hyderabad,Bangalore,05:00,10:04,2,Economy,12.98,22,9670
AirAsia,Chennai,Delhi,21:00,02:18,2,Economy,7.42,4,10844
SpiceJet,Kolkata,Delhi,22:00,03:53,0,Economy,4.0,10,6982
GO FIRST,Chennai,Kolkata,15:00,18:16,0,Business,9.83,16,17761
Vistara,Chennai,Hyderabad,12:00,17:10,2,Economy,5.24,14,12632
GO FIRST,Kolkata,Delhi,01:00,05:17,2,Economy,10.54,20,11620
Vistara,Chennai,Bangalore,00:00,02:13,1,Business,9.64,44,16914
Air India,Chennai,Delhi,07:00,10:07,1,Business,2.0,2,23469
Indigo,Bangalore,Kolkata,19:00,23:56,1,Economy,5.38,1,8549
SpiceJet,Hyderabad,Chennai,06:00,12:03,1,Economy,11.94,18,9060
SpiceJet,Chennai,Bangalore,06:00,11:55,0,Economy,4.2,44,4079
Vistara,Kolkata,Mumbai,09:00,11:50,2,Business,2.06,36,17848
Air India,Chennai,Hyderabad,14:00,17:47,0,Economy,7.76,9,9789
Indigo,Delhi,Kolkata,07:00,10:47,0,Economy,13.38,26,8083
SpiceJet,Delhi,Kolkata,15:00,20:32,1,Business,11.2,20,22424
Air India,Chennai,Hyderabad,22:00,00:58,1,Economy,9.32,35,6991
AirAsia,Kolkata,Bangalore,10:00,14:12,0,Economy,12.02,3,8097
AirAsia,Chennai,Kolkata,12:00,15:36,2,Economy,13.81,28,11048
Indigo,Chennai,Bangalore,02:00,06:35,0,Economy,3.6,37,5850
Air India,Delhi,Hyderabad,19:00,23:29,1,Economy,3.4,29,7036
GO FIRST,Delhi,Bangalore,01:00,04:38,2,Economy,9.79,15,11862
Air India,Kolkata,Delhi,23:00,03:10,1,Economy,13.83,39,9485
Air India,Bangalore,Mumbai,10:00,16:03,2,Economy,13.5,5,11616
Vistara,Kolkata,Mumbai,00:00,03:13,2,Economy,8.74,39,10344
AirAsia,Delhi,Kolkata,05:00,11:14,2,Economy,2.75,20,11196
Vistara,Hyderabad,Chennai,01:00,03:56,0,Business,8.75,2,21674
AirAsia,Chennai,Delhi,15:00,19:41,0,Economy,14.02,32,8154
Vistara,Kolkata,Hyderabad,20:00,22:51,2,Business,2.94,49,22185
AirAsia,Delhi,Bangalore,11:00,15:44,1,Business,3.27,24,16522
SpiceJet,Bangalore,Mumbai,22:00,04:53,1,Business,5.2,17,23325
Vistara,Hyderabad,Kolkata,19:00,23:34,1,Economy,2.16,8,7673
Vistara,Mumbai,Hyderabad,16:00,18:25,1,Economy,7.53,30,8975
SpiceJet,Kolkata,Mumbai,15:00,20:22,1,Business,9.79,23,17456
Vistara,Mumbai,Bangalore,01:00,05:46,0,Economy,5.55,26,5659
AirAsia,Bangalore,Delhi,07:00,09:39,2,Business,11.9,23,25565
Indigo,Mumbai,Delhi,11:00,16:00,2,Economy,14.2,31,9314
Vistara,Chennai,Bangalore,21:00,01:25,0,Economy,7.39,8,8521
Air India,Kolkata,Delhi,20:00,22:00,0,Economy,3.9,14,6590
SpiceJet,Kolkata,Bangalore,08:00,10:13,2,Economy,4.44,40,7553
GO FIRST,Bangalore,Mumbai,14:00,16:00,1,Economy,14.68,39,9308
AirAsia,Delhi,Chennai,19:00,00:05,0,Economy,10.27,46,6387
GO FIRST,Hyderabad,Chennai,14:00,20:53,1,Economy,12.44,39,9226
Indigo,Chennai,Delhi,08:00,14:53,2,Economy,12.68,33,8432
Vistara,Kolkata,Hyderabad,12:00,17:56,1,Economy,4.39,10,10749
SpiceJet,Delhi,Mumbai,09:00,14:41,2,Business,11.39,23,21700
Vistara,Bangalore,Hyderabad,13:00,17:15,2,Economy,12.99,44,7639
AirAsia,Hyderabad,Chennai,21:00,00:57,1,Economy,6.43,20,7116
Indigo,Kolkata,Hyderabad,08:00,13:59,1,Economy,2.18,39,5833
Vistara,Bangalore,Kolkata,04:00,07:14,2,Economy,9.26,4,14344
AirAsia,Mumbai,Delhi,17:00,20:15,0,Business,6.59,18,22242
SpiceJet,Hyderabad,Mumbai,16:00,22:37,2,Economy,4.5,16,11542
AirAsia,Kolkata,Mumbai,20:00,01:11,1,Economy,11.64,31,9427
Indigo,Bangalore,Mumbai,02:00,05:32,1,Economy,14.59,17,10005
Vistara,Delhi,Hyderabad,17:00,19:33,2,Business,11.49,35,24948
GO FIRST,Kolkata,Hyderabad,05:00,11:03,2,Economy,9.21,42,9013
AirAsia,Kolkata,Mumbai,01:00,06:49,1,Business,6.55,37,18322
GO FIRST,Chennai,Delhi,00:00,05:24,1,Business,2.78,2,25615
SpiceJet,Delhi,Mumbai,04:00,08:54,1,Economy,11.79,13,11206
Air India,Kolkata,Delhi,03:00,05:05,2,Economy,11.36,20,9278
Vistara,Delhi,Kolkata,08:00,10:41,0,Economy,3.65,2,9882
Air India,Bangalore,Chennai,10:00,16:28,1,Business,9.96,1,24846
Vistara,Delhi,Mumbai,00:00,02:50,0,Economy,8.34,49,4408
Indigo,Chennai,Delhi,17:00,21:54,0,Economy,8.62,1,8752
Air India,Chennai,Hyderabad,07:00,09:43,0,Economy,13.25,6,9580
GO FIRST,Mumbai,Kolkata,06:00,11:15,0,Economy,4.73,30,7074
GO FIRST,Hyderabad,Mumbai,13:00,16:11,1,Economy,2.77,5,8540
Vistara,Mumbai,Bangalore,05:00,11:41,0,Economy,10.41,7,7854
GO FIRST,Chennai,Hyderabad,02:00,06:38,2,Economy,2.9,30,10092
AirAsia,Bangalore,Delhi,17:00,21:27,0,Economy,7.83,45,5157
SpiceJet,Delhi,Kolkata,09:00,15:09,2,Economy,7.08,10,9408
Vistara,Delhi,Chennai,08:00,14:16,2,Economy,13.11,42,7871
Indigo,Bangalore,Mumbai,22:00,04:39,2,Economy,13.82,20,11306
